ItemGroup,Item,Site,Item_location,Family_Code,Week,Year,Week_Year,Demand,Prod_Start,POs,R_Create_Date,Receipts,Inventory_PO,Inventory_R,Demand_I,Demand_R,Demand_RI,Inventory_D,Inventory,Transfer_In,Transfer_Out,SS_Weeks,WOS,Sim_Inv,Sim_WOS,VendorId,Week_Date
FBGB,20061751061,3010,20061751061_3010,900BR,10,2024,10_2024,3,0,0,null,0,2,0,0,0,0,0,2,0,0,7,0.67,2,0.67,20008777,3/10/2024
FBGB,20061751065,3000,20061751065_3000,900BR,10,2024,10_2024,19,0,0,11/10/2023,20,-33,0,0,0,0,0,-33,0,0,7,-1.93,-13,-0.76,20008777,3/10/2024
FBGB,20061751065,3010,20061751065_3010,900BR,10,2024,10_2024,15,0,0,null,0,91,0,0,0,0,0,91,0,0,7,6.76,91,6.76,20008777,3/10/2024
FBGB,20061751033,3000,20061751033_3000,900BR,10,2024,10_2024,5,0,0,null,0,23,0,0,0,0,0,23,0,0,7,4.6,23,4.6,20008777,3/10/2024
FBGB,20061751052,3000,20061751052_3000,900BR,10,2024,10_2024,15,0,0,11/10/2023,22,-5,0,0,0,0,0,-5,0,0,7,-0.36,17,1.23,20008777,3/10/2024
FBGB,20061751061,3200,20061751061_3200,900BR,11,2024,11_2024,6,0,0,null,0,-4,0,0,0,0,0,-4,0,0,7,-0.71,-4,-0.71,20008777,3/17/2024
FBGB,20061751001,3220,20061751001_3220,900BR,11,2024,11_2024,1,0,0,null,0,2,0,0,0,0,0,2,0,0,7,2,4,4,20008777,3/17/2024
FBGB,20061751033,3220,20061751033_3220,900BR,11,2024,11_2024,4,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-0.25,-1,-0.25,20008777,3/17/2024
FBGB,20061751052,3210,20061751052_3210,900BR,11,2024,11_2024,13,0,0,null,0,25,0,0,0,0,0,25,0,0,7,2.07,25,2.07,20008777,3/17/2024
FBGB,20061751001,3210,20061751001_3210,900BR,11,2024,11_2024,1,0,0,null,0,-2,0,0,0,0,0,-2,0,0,7,-2,-2,-2,20008777,3/17/2024
FBGB,20061751053,3000,20061751053_3000,900BR,11,2024,11_2024,18,0,0,null,0,-19,0,0,0,0,0,-19,0,0,7,-1.14,7,0.42,20008777,3/17/2024
FBGB,20061751053,3010,20061751053_3010,900BR,11,2024,11_2024,13,0,0,null,0,-15,0,0,0,0,0,-15,0,0,7,-1.26,-15,-1.26,20008777,3/17/2024
FBGB,20061751065,3200,20061751065_3200,900BR,11,2024,11_2024,10,0,0,null,0,-12,0,0,0,0,0,-12,0,0,7,-1.32,-12,-1.32,20008777,3/17/2024
FBGB,20061751002,3200,20061751002_3200,900BR,11,2024,11_2024,1,0,0,null,0,1,0,0,0,0,0,1,0,0,7,1,1,1,20008777,3/17/2024
FBGB,20061751033,3210,20061751033_3210,900BR,11,2024,11_2024,4,0,0,null,0,-11,0,0,0,0,0,-11,0,0,7,-2.75,-11,-2.75,20008777,3/17/2024
FBGB,20061751058,3010,20061751058_3010,900BR,11,2024,11_2024,15,0,0,10/27/2023,12,-27,0,0,0,0,0,-27,0,0,7,-2.02,-27,-2.02,20008777,3/17/2024
FBGB,20061751057,3220,20061751057_3220,900BR,11,2024,11_2024,14,0,0,null,0,-40,0,0,0,0,0,-40,0,0,7,-3.14,-16,-1.26,20008777,3/17/2024
FBGB,20061751058,3220,20061751058_3220,900BR,11,2024,11_2024,14,0,0,null,0,-35,0,0,0,0,0,-35,0,0,7,-2.64,-11,-0.83,20008777,3/17/2024
FBGB,20061751002,3210,20061751002_3210,900BR,11,2024,11_2024,1,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-1,-1,-1,20008777,3/17/2024
FBGB,20061751053,3220,20061751053_3220,900BR,11,2024,11_2024,10,0,0,null,0,13,0,0,0,0,0,13,0,0,7,1.49,29,3.32,20008777,3/17/2024
FBGB,20061751002,3220,20061751002_3220,900BR,11,2024,11_2024,1,0,0,null,0,1,0,0,0,0,0,1,0,0,7,1,3,3,20008777,3/17/2024
FBGB,20061751061,3000,20061751061_3000,900BR,11,2024,11_2024,8,0,0,null,0,-19,0,0,0,0,0,-19,0,0,7,-2.38,-17,-2.13,20008777,3/17/2024
FBGB,20061751001,3010,20061751001_3010,900BR,11,2024,11_2024,1,0,0,null,0,6,0,0,0,0,0,6,0,0,7,6,6,6,20008777,3/17/2024
